0Sale_ID,age,price
101,22,9000
102,21,10000
103,20,11500
104,19,13000
105,22,17000
106,21,18000
107,20,19000
108,19,20500
109,18,23500
110,17,27500
111,21,13000
112,20,14000
113,19,15500
114,36,11605
115,34,11605
116,32,13000
117,30,14250
118,28,15000
119,26,16000
120,24,17000
121,34,10750
122,32,11250
123,30,12750
124,26,14000
125,22,14500
126,37,10500
127,36,11500
128,33,12500
129,32,13750
130,30,16000
131,26,20000
132,23,25500
133,20,34000
134,18,46000
135,44,12000
136,40,12500
137,39,13000
138,38,13500
139,37,14000
140,36,14750
141,35,15500
142,34,15750
143,33,16000
144,32,16500
145,31,17500
146,29,19000
147,27,20000
148,26,21000
149,25,24500
150,24,25500
151,23,25000
152,22,27500
153,21,29500
154,20,33000
155,19,37500
156,18,42000
157,17,47000
158,32,15250
159,31,17000
160,30,18000
161,29,19500
162,28,21000
163,27,22500
164,26,24000
165,25,25500
166,24,27500
167,23,30000
168,22,32000
169,37,15500
170,35,16500
171,33,17000
172,32,18500
173,30,20250
174,28,21500
175,27,25000
176,25,29500
177,23,33500
178,20,44500
179,19,55000
180,18,65500
181,15,74500
182,44,16000
183,42,18000
184,40,19500
185,38,20500
186,34,22500
187,31,24000
188,30,26000
189,26,30500
190,24,37000
191,20,51000
192,19,59500
193,18,65500
194,17,71500
195,16,80000
196,36,21500
197,38,19000
198,37,20500
199,35,21500
200,34,23000
201,32,25000
202,30,28000
203,28,31000
204,25,34500
205,24,40000
206,22,48000
207,20,60000
208,16,254000
209,29,22500
210,28,23500
211,27,25000
212,26,26500
213,25,28500
214,24,30500
215,23,32500
216,22,34500
217,23,45500
218,22,49500
219,21,53500
220,20,58500
221,19,63500
222,18,68000
223,17,76000
224,21,58000
225,20,63500
226,19,69000
227,18,76000
228,17,85000
229,36,21700
230,36,27000
231,35,29000
232,33,38000
233,29,42500
234,29,43000
235,35,45000
236,23,34000
237,22,38000
238,21,41500
239,20,45500
240,19,51000
241,18,60000
242,17,71000
243,24,38500
244,23,41000
245,22,43500
246,21,48500
247,31,54000
248,30,68500
249,26,75000
250,24,85500
251,22,90500
252,21,97000
253,20,107000
254,19,124500
255,18,135000
256,17,145000
257,21,68500
258,20,67000
259,20,76000
260,19,77000
261,19,88000
262,18,91500
263,18,102500
264,17,110000
265,17,123000
266,16,135000
267,16,150000
268,21,112500
269,20,119000
270,19,130000
271,18,160000
272,17,177501
273,14,154000
274,13,177501
275,22,74000
276,21,82000
277,20,95000
278,19,115000
279,18,134001
280,17,158000
281,20,70500
282,20,75000
283,20,83000
284,19,73000
285,19,76000
286,19,87500
287,19,95500
288,18,81000
289,18,88500
290,18,100000
291,18,108000
292,17,83000
293,17,104000
294,17,112000
295,17,120000
