0Sale_ID,pass,wtop,fixgear,tdrag
105,2,1,0,0
106,2,1,0,0
107,2,1,0,0
108,2,1,0,0
109,2,1,0,0
110,2,1,0,0
135,4,1,0,0
136,4,1,0,0
137,4,1,0,0
138,4,1,0,0
139,4,1,0,0
140,4,1,0,0
141,4,1,0,0
142,4,1,0,0
143,4,1,0,0
144,4,1,0,0
145,4,1,0,0
146,4,1,0,0
147,4,1,0,0
148,4,1,0,0
149,4,1,0,0
150,4,1,0,0
151,4,1,0,0
152,4,1,0,0
153,4,1,0,0
154,4,1,0,0
155,4,1,0,0
156,4,1,0,0
157,4,1,0,0
158,2,1,0,0
159,2,1,0,0
160,2,1,0,0
161,2,1,0,0
162,2,1,0,0
163,2,1,0,0
164,2,1,0,0
165,2,1,0,0
166,2,1,0,0
167,2,1,0,0
168,2,1,0,0
182,4,1,0,0
183,4,1,0,0
184,4,1,0,0
185,4,1,0,0
186,4,1,0,0
187,4,1,0,0
188,4,1,0,0
189,4,1,0,0
190,4,1,0,0
191,4,1,0,0
192,4,1,0,0
193,4,1,0,0
194,4,1,0,0
195,4,1,0,0
196,4,1,0,0
209,4,1,1,0
210,4,1,1,0
211,4,1,1,0
212,4,1,1,0
213,4,1,1,0
214,4,1,1,0
215,4,1,1,0
216,4,1,1,0
257,6,1,1,0
258,6,1,1,0
259,6,1,1,0
260,6,1,1,0
261,6,1,1,0
262,6,1,1,0
263,6,1,1,0
264,6,1,1,0
265,6,1,1,0
266,6,1,1,0
267,6,1,1,0
275,6,1,1,0
276,6,1,1,0
277,6,1,1,0
278,6,1,1,0
279,6,1,1,0
197,6,1,0,1
198,6,1,0,1
199,6,1,0,1
200,6,1,0,1
201,6,1,0,1
202,6,1,0,1
203,6,1,0,1
204,6,1,0,1
205,6,1,0,1
206,6,1,0,1
207,6,1,0,1
101,2,0,0,0
102,2,0,0,0
103,2,0,0,0
104,2,0,0,0
111,2,0,0,0
112,2,0,0,0
113,2,0,0,0
114,2,0,0,0
115,2,0,0,0
116,2,0,0,0
117,2,0,0,0
118,2,0,0,0
119,2,0,0,0
120,2,0,0,0
121,4,0,0,0
122,4,0,0,0
123,4,0,0,0
124,4,0,0,0
125,4,0,0,0
126,4,0,0,0
127,4,0,0,0
128,4,0,0,0
129,4,0,0,0
130,4,0,0,0
131,4,0,0,0
132,4,0,0,0
133,4,0,0,0
134,4,0,0,0
169,4,0,0,0
170,4,0,0,0
171,4,0,0,0
172,4,0,0,0
173,4,0,0,0
174,4,0,0,0
175,4,0,0,0
176,4,0,0,0
177,4,0,0,0
178,4,0,0,0
179,4,0,0,0
180,4,0,0,0
181,4,0,0,0
208,6,0,1,0
217,4,0,1,0
218,4,0,1,0
219,4,0,1,0
220,4,0,1,0
221,4,0,1,0
222,4,0,1,0
223,4,0,1,0
224,4,0,1,0
225,4,0,1,0
226,4,0,1,0
227,4,0,1,0
228,4,0,1,0
229,4,0,1,0
230,4,0,1,0
231,4,0,1,0
232,4,0,1,0
233,4,0,1,0
234,4,0,1,0
235,4,0,1,0
236,4,0,1,0
237,4,0,1,0
238,4,0,1,0
239,4,0,1,0
240,4,0,1,0
241,4,0,1,0
242,4,0,1,0
243,4,0,1,0
244,4,0,1,0
245,4,0,1,0
246,4,0,1,0
247,6,0,1,0
248,6,0,1,0
249,6,0,1,0
250,6,0,1,0
251,6,0,1,0
252,6,0,1,0
253,6,0,1,0
254,6,0,1,0
255,6,0,1,0
256,6,0,1,0
268,6,0,1,0
269,6,0,1,0
270,6,0,1,0
271,6,0,1,0
272,6,0,1,0
273,4,0,1,0
274,4,0,1,0
280,6,0,1,0
281,6,0,1,0
282,6,0,1,0
283,6,0,1,0
284,6,0,1,0
285,6,0,1,0
286,6,0,1,0
287,6,0,1,0
288,6,0,1,0
289,6,0,1,0
290,6,0,1,0
291,6,0,1,0
292,6,0,1,0
293,6,0,1,0
294,6,0,1,0
295,6,0,1,0
